GEOID,County,Score,Percentile,DAC,area
6059099202,Orange,30.49626431611916,59.65708522440747,No,1784325.46
6059099203,Orange,25.206002832502097,49.19314170448815,No,1267822.57
6059099204,Orange,28.457812719921492,55.83711548159355,No,1286966.75
6059099212,Orange,24.562970296343032,47.89460413514877,No,1273366.73
6059099214,Orange,16.707298269841843,29.639435199193144,No,1297461.73
6059099215,Orange,17.205433920068216,30.799293998991427,No,1309073.11
6059099216,Orange,13.9960956209934,23.04589006555724,No,1735254.01
6059099217,Orange,11.046230872878716,15.569843671205245,No,1210466.91
6059099220,Orange,16.111000862708334,28.189611699445283,No,3933521.3
6059099222,Orange,26.66600920446044,52.39536056480081,No,1308738.29
6059099223,Orange,28.995817984693826,56.9213313161876,No,1300339.82
6059099224,Orange,23.758433823712075,46.10438729198184,No,1282801.26
6059099225,Orange,14.919876769728502,25.34039334341906,No,3857779.91
6059099226,Orange,27.66119674725276,54.236006051437215,No,1314869.5
6059099227,Orange,27.7987967175798,54.51336359051942,No,1684169.68
6059099229,Orange,30.368009691988807,59.379727685325264,No,4515507.61
6059099230,Orange,22.33404885459632,42.876954109934445,No,1265077.29
6059099231,Orange,8.527805431475883,9.669692385274836,No,1945577.69
6059099232,Orange,20.63064264638049,39.145234493192135,No,1976553.05
6059099233,Orange,16.947581964546696,30.358043368633385,No,1304786.43
6059099234,Orange,24.07655075573376,46.88603126575895,No,1280811.12
6059099235,Orange,13.980207857308512,22.957639939485627,No,1278015.24
6059099237,Orange,12.019525935768376,18.028240040342915,No,1294782.65
6059099238,Orange,7.946721057588803,8.383761976802823,No,1296844.06
6059099239,Orange,13.379158559298787,21.39435199193142,No,2305625.51
6059099240,Orange,9.723050403264228,12.266767523953606,No,2736445.36
6059099241,Orange,23.746042347558483,46.066565809379725,No,1350990.28
6059099242,Orange,25.9182193825345,50.80685829551184,No,1231540.81
6059099243,Orange,14.074770760801371,23.234997478567827,No,1264298.12
6059099244,Orange,11.53888746943946,16.67927382753404,No,1301494.97
6059099245,Orange,13.821053191320592,22.516389309127582,No,1281699.61
6059099246,Orange,15.207004275452686,26.03378719112456,No,1323201.55
6059099247,Orange,27.931923408674653,54.81593545133636,No,611528.66
6059099248,Orange,27.684629817901364,54.2864346949067,No,606790.27
6059099249,Orange,35.90097225746561,68.98638426626323,No,576167.8
6059099250,Orange,30.35715350459144,59.35451336359052,No,1297966.72
6059099251,Orange,25.476247139339744,49.81089258698941,No,1317698.8
6059099305,Orange,19.95305613758477,37.443267776096825,No,1402656.03
6059099306,Orange,15.605186921624108,26.903681290973275,No,1111987.8
6059099307,Orange,14.044590795995116,23.15935451336359,No,2198043.1
6059099308,Orange,9.334369734691071,11.24558749369642,No,3948137.3
6059099309,Orange,13.685479181984334,22.175995965708523,No,2084982.15
6059099310,Orange,10.672206067037536,14.611699445284923,No,1821276.12
6059099311,Orange,9.172312685644323,11.01865859808371,No,943882.34
6059099402,Orange,38.92286562384195,73.33585476550681,No,2601293.53
6059099404,Orange,15.349193983022731,26.31114473020676,No,1410017.7
6059099405,Orange,18.179798564920212,33.156833081190115,No,1312458.75
6059099406,Orange,20.73649715482111,39.3469490670701,No,1292506.01
6059099407,Orange,12.7376225176558,19.7428139183056,No,1295658.76
6059099408,Orange,19.008512288018984,35.21180030257186,No,1337335.45
6059099410,Orange,33.70942273362181,65.33030761472517,No,1314055.91
6059099411,Orange,32.98431363035426,64.04437720625316,No,1333254.41
6059099412,Orange,20.54272086885901,38.88048411497731,No,1647632.11
6059099413,Orange,29.51974591015906,57.89208270297529,No,
6059099415,Orange,9.245609290053194,11.10690872415532,No,9738168.52
6059099416,Orange,13.528902978091702,21.78517397881997,No,634156.02
6059099417,Orange,17.199295784398032,30.76147251638931,No,3598739.17
6059099418,,,,Missing,934770.81
6059099419,,,,Missing,2553817.03
6059099502,Orange,25.668990597879223,50.2773575390822,No,20490757.04
6059099504,Orange,14.070494557266116,23.22239031770045,No,2321732.23
6059099506,Orange,6.8487213584252125,6.505295007564296,No,2745584.09
