Census Tract,Total,Poverty,TotalWhite,PovertyWhite,TotalBlack,PovertyBlack,TotalAIAN,PovertyAIAN,TotalAsian,PovertyAsian,TotalNHPI,PovertyNHPI,TotalOther,PovertyOther,TotalMixed,PovertyMixed,TotalWhiteNH,PovertyWhiteNH,TotalLatine,PovertyLatine,Inequality,pWhiteNH,pLatine,pBlack,pAIAN,pAsian,pNHPI,pOther,pMixed,pWhiteNH_poverty,pLatine_poverty,pBlack_poverty,pAIAN_poverty,pAsian_poverty,pNHPI_poverty,pOther_poverty,pMixed_poverty
6001430600,6475,450,3654,197,484,31,52,17,1823,169,36,36,66,0,360,0,2989,197,828,0,0.3972,0.4616216216216216,0.12787644787644786,0.07474903474903474,0.008030888030888032,0.2815444015444015,0.0055598455598455596,0.010193050193050193,0.055598455598455596,0.06590833054533289,0,0.0640495867768595,0.3269230769230769,0.09270433351618211,1,0,0
6001430700,4133,228,2369,63,189,9,164,16,879,92,0,0,88,38,444,10,2084,37,656,80,0.3909,0.5042342124364868,0.15872247761916283,0.04572949431405759,0.03968061940479071,0.21267844180982337,0,0.021292039680619403,0.10742801838857972,0.017754318618042227,0.12195121951219512,0.047619047619047616,0.0975609756097561,0.10466439135381114,NA,0.4318181818181818,0.02252252252252252
6001430800,5259,499,3278,301,105,19,66,0,1469,178,60,0,54,0,227,1,3011,194,396,107,0.3768,0.5725423084236547,0.07529948659440959,0.019965772960638905,0.012549914432401598,0.2793306712302719,0.011409013120365089,0.01026811180832858,0.043164099638714586,0.0644304217867818,0.2702020202020202,0.18095238095238095,0,0.1211708645336964,0,0,0.004405286343612335
6001430900,5123,1060,3046,540,432,40,42,21,1016,283,6,0,140,70,441,106,2175,392,1087,229,0.4275,0.42455592426312705,0.21218036306851454,0.08432559047433144,0.008198321296115557,0.1983212961155573,0.0011711887565879367,0.027327737653718525,0.08608237360921335,0.18022988505747126,0.21067157313707452,0.09259259259259259,0.5,0.2785433070866142,0,0.5,0.24036281179138322
6001431000,2777,259,1456,151,185,33,20,0,865,75,0,0,26,0,225,0,1014,115,540,47,0.3799,0.3651422398271516,0.19445444724522867,0.06661865322290242,0.007202016564638099,0.3114872164205978,0,0.009362621534029529,0.08102268635217862,0.11341222879684418,0.08703703703703704,0.1783783783783784,0,0.08670520231213873,NA,0,0
6001431100,3561,294,2035,137,607,69,5,5,443,71,33,0,158,0,280,12,1136,94,1081,55,0.3737,0.3190115136197697,0.30356641392867173,0.17045773659084526,0.0014040999719180005,0.12440325751193484,0.009267059814658803,0.04436955911260882,0.07862959842740803,0.08274647887323944,0.05087881591119334,0.11367380560131796,1,0.16027088036117382,0,0,0.04285714285714286
6001431200,5445,427,3323,405,602,0,0,0,749,19,0,0,390,3,381,0,2546,95,1270,313,0.3387,0.46758494031221304,0.23324150596877868,0.11056014692378328,0,0.13755739210284665,0,0.07162534435261708,0.0699724517906336,0.03731343283582089,0.24645669291338582,0,NA,0.025367156208277702,NA,0.007692307692307693,0
6001432100,3574,156,1829,75,413,41,16,0,666,9,63,0,302,15,285,16,1613,67,636,17,0.3833,0.45131505316172355,0.1779518746502518,0.11555679910464466,0.004476776720761052,0.18634583100167879,0.017627308337996642,0.08449916060436485,0.07974258533855624,0.041537507749535026,0.026729559748427674,0.09927360774818401,0,0.013513513513513514,0,0.04966887417218543,0.056140350877192984
6001432200,4055,614,1787,153,896,45,70,0,492,66,41,25,495,325,274,0,1401,106,979,372,0.4774,0.34549938347718867,0.24143033292231814,0.22096177558569666,0.01726263871763255,0.12133168927250308,0.010110974106041924,0.1220715166461159,0.06757090012330456,0.07566024268379729,0.3799795709908069,0.05022321428571429,0,0.13414634146341464,0.6097560975609756,0.6565656565656566,0
6001432300,4744,278,1600,91,573,27,55,16,1315,117,120,0,730,18,351,9,905,62,1568,47,0.3682,0.1907672849915683,0.3305227655986509,0.1207841483979764,0.011593591905564924,0.27719224283305227,0.025295109612141653,0.1538785834738617,0.07398819561551434,0.06850828729281767,0.029974489795918366,0.04712041884816754,0.2909090909090909,0.08897338403041825,0,0.024657534246575342,0.02564102564102564
6001432400,6827,859,3116,359,499,76,25,11,2079,245,126,0,513,107,469,61,1190,235,2783,303,0.3662,0.1743078951223085,0.40764611102973486,0.07309213417313608,0.0036619305697963966,0.3045261461842683,0.018456130071773838,0.07514281529222205,0.0686978174893804,0.19747899159663865,0.10887531440891125,0.1523046092184369,0.44,0.11784511784511785,0,0.20857699805068225,0.1300639658848614
6001432501,4842,437,1767,224,354,0,15,0,2023,106,65,0,412,78,206,29,824,14,1433,309,0.4602,0.1701776125567947,0.2959520859149112,0.07311028500619579,0.0030978934324659233,0.4178025609252375,0.013424204874019,0.08508880627839735,0.042544403139198675,0.01699029126213592,0.21563154221912073,0,0,0.05239742956005932,0,0.18932038834951456,0.1407766990291262
6001432502,5178,362,1681,44,737,185,3,0,2136,120,9,0,380,13,232,0,715,44,1538,2,0.4012,0.138084202394747,0.2970258787176516,0.14233294708381614,5.793742757821553e-4,0.41251448435689453,0.0017381228273464658,0.07338740826573967,0.044804943993820005,0.06153846153846154,0.0013003901170351106,0.2510176390773406,0,0.056179775280898875,0,0.034210526315789476,0
6001432600,6918,805,2719,456,979,154,93,17,1746,157,48,0,754,12,579,9,1750,251,2128,231,0.4184,0.25296328418618097,0.3076033535703961,0.14151488869615494,0.013443191673894189,0.2523850823937554,0.006938421509106678,0.10899103787221741,0.0836947094535993,0.14342857142857143,0.10855263157894737,0.15730337078651685,0.1827956989247312,0.089919816723940435,0,0.015915119363395226,0.015544041450777202
6001432700,2790,136,1725,49,168,0,12,7,472,55,21,0,181,25,211,0,1239,6,701,58,0.4417,0.44408602150537635,0.25125448028673836,0.060215053763440864,0.004301075268817204,0.16917562724014337,0.007526881720430108,0.06487455197132616,0.07562724014336918,0.004842615012106538,0.08273894436519258,0,0.5833333333333334,0.11652542372881355,0,0.13812154696132597,0
6001432800,3979,134,1535,43,509,16,74,0,1365,30,37,30,220,0,239,15,1168,43,850,61,0.3549,0.2935410907263131,0.21362151294295048,0.1279215883387786,0.01859763759738628,0.3430510178436793,0.00929881879869314,0.05529027393817542,0.06006534305101784,0.036815068493150686,0.07176470588235294,0.03143418467583497,0,0.02197802197802198,0.8108108108108109,0,0.06276150627615062
6001433000,3621,584,1597,176,230,14,34,0,1441,326,7,0,199,68,113,0,1097,167,753,77,0.3452,0.3029549848108257,0.207953603976802,0.06351836509251588,0.009389671361502348,0.3979563656448495,0.0019331676332504833,0.05495719414526374,0.031206848936757802,0.15223336371923427,0.10225763612217796,0.06086956521739131,0,0.22623178348369188,0,0.3417085427135678,0
6001433102,4473,319,1406,118,387,94,37,0,1874,96,9,0,373,2,387,9,501,14,1610,115,0.3785,0.11200536552649229,0.3599374021909233,0.08651911468812877,0.008271853342275877,0.41895819360608094,0.002012072434607646,0.08338922423429465,0.08651911468812877,0.027944111776447105,0.07142857142857142,0.24289405684754523,0,0.051227321237993596,0,0.005361930294906166,0.023255813953488372
6001433103,3523,265,1409,80,628,35,20,0,868,117,0,0,485,0,113,33,483,59,1513,54,0.398,0.1370990632983253,0.4294635254044848,0.17825716718705648,0.005676979846721544,0.24638092534771502,0,0.13766676128299746,0.032074936133976724,0.12215320910973085,0.0356906807666887,0.05573248407643312,0,0.1347926267281106,NA,0,0.2920353982300885
