Census Tract,Total,Poverty,TotalWhite,PovertyWhite,TotalBlack,PovertyBlack,TotalAIAN,PovertyAIAN,TotalAsian,PovertyAsian,TotalNHPI,PovertyNHPI,TotalOther,PovertyOther,TotalMixed,PovertyMixed,TotalWhiteNH,PovertyWhiteNH,TotalLatine,PovertyLatine,Inequality,pWhiteNH,pLatine,pBlack,pAIAN,pAsian,pNHPI,pOther,pMixed,pWhiteNH_poverty,pLatine_poverty,pBlack_poverty,pAIAN_poverty,pAsian_poverty,pNHPI_poverty,pOther_poverty,pMixed_poverty
6001433104,3724,509,1668,301,820,65,24,8,451,108,0,0,342,9,419,18,1061,120,1112,190,0.4505,0.28490870032223414,0.29860365198711064,0.22019334049409237,0.00644468313641246,0.12110633727175081,0,0.09183673469387756,0.11251342642320086,0.11310084825636192,0.17086330935251798,0.07926829268292683,0.3333333333333333,0.2394678492239468,NA,0.02631578947368421,0.04295942720763723
6001433200,7888,1285,2190,337,932,149,38,0,2891,371,25,0,1053,428,759,0,1355,242,2285,523,0.5196,0.17177991886409735,0.28968052738336714,0.11815415821501014,0.004817444219066937,0.3665060851926978,0.003169371196754564,0.13349391480730224,0.09622210953346856,0.17859778597785977,0.2288840262582057,0.15987124463519314,0,0.12832929782082325,0,0.40645773979107314,0
6001433300,7761,829,2747,149,61,43,0,0,3517,634,157,0,761,3,518,0,2069,85,1820,107,0.3564,0.26658935704161835,0.23450586264656617,0.007859811879912382,0,0.45316325215822706,0.020229351887643344,0.09805437443628398,0.06674397629171498,0.041082648622522956,0.05879120879120879,0.7049180327868853,NA,0.18026727324424224,0,0.003942181340341655,0
6001433400,5934,135,1355,13,551,0,97,1,3341,112,140,9,61,0,389,0,978,13,536,1,0.3919,0.16481294236602628,0.09032692955847657,0.09285473542298618,0.016346477923828782,0.5630266262217728,0.023592854735422986,0.01027974384900573,0.06555443208628244,0.013292433537832311,0.0018656716417910447,0,0.010309278350515464,0.03352289733612691,0.06428571428571428,0,0
6001433500,4822,132,1707,75,211,1,0,0,2301,21,3,3,531,8,69,24,1278,75,1095,32,0.4322,0.26503525508087933,0.22708419742845293,0.04375777685607632,0,0.47718788884280383,6.221484861053505e-4,0.11012028204064704,0.01430941518042306,0.05868544600938967,0.029223744292237442,0.004739336492890996,NA,0.009126466753585397,1,0.015065913370998116,0.34782608695652173
6001433600,6094,865,2018,338,531,48,122,67,2489,257,118,0,426,96,390,59,1409,301,1078,133,0.4477,0.2312110272399081,0.17689530685920576,0.08713488677387594,0.020019691499835904,0.4084345257630456,0.019363308171972432,0.0699048244174598,0.06399737446668854,0.21362668559261888,0.12337662337662338,0.0903954802259887,0.5491803278688525,0.10325431900361591,0,0.22535211267605634,0.15128205128205127
6001433700,3497,274,1843,160,185,14,26,13,680,48,0,0,598,39,165,0,454,74,2013,151,0.3055,0.1298255647698027,0.5756362596511295,0.052902487846725764,0.007434944237918215,0.19445238776093796,0,0.17100371747211895,0.04718329997140406,0.16299559471365638,0.07501241927471436,0.07567567567567568,0.5,0.07058823529411765,NA,0.06521739130434782,0
6001433800,8035,506,2459,205,640,70,38,8,3001,129,10,10,1685,84,202,0,721,139,3642,150,0.4198,0.08973242065961419,0.45326695706285003,0.07965152457996266,0.0047293092719352834,0.3734909769757312,0.0012445550715619166,0.20970752955818295,0.025140012445550714,0.1927877947295423,0.04118616144975288,0.109375,0.21052631578947367,0.04298567144285238,1,0.049851632047477744,0
6001433900,7685,1237,2605,436,1750,398,242,0,1223,238,103,48,1115,63,647,54,824,49,3122,450,0.3832,0.10722186076772934,0.4062459336369551,0.2277163305139883,0.03148991541964866,0.15914118412491868,0.013402732595966168,0.14508783344176968,0.08418998048145739,0.05946601941747573,0.1441383728379244,0.22742857142857142,0,0.1946034341782502,0.46601941747572817,0.05650224215246637,0.08346213292117466
6001434000,5334,1304,2364,354,883,259,31,16,1019,284,17,0,692,272,328,119,729,104,2487,538,0.4781,0.13667041619797526,0.46625421822272217,0.16554180727409074,0.005811773528308962,0.19103862017247844,0.0031871016122984627,0.12973378327709037,0.0614923134608174,0.14266117969821673,0.21632488942501005,0.29331823329558326,0.5161290322580645,0.2787046123650638,0,0.3930635838150289,0.3628048780487805
